file_path,line_number,hardcoded_literal,proposed_alias,context
AI_Studio\Z_VoxCore_Session_Logs\dashboard.html,113,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"<div class=""timeline-scroll""><div class=""tl-row fatal""><span class=""ts"">21:38:19</span><span class="""
AI_Studio\Z_VoxCore_Session_Logs\dashboard.html,114,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"<div class=""tl-row fatal""><span class=""ts"">20:11:08</span><span class=""src"">Crash</span><span class="
AI_Studio\Z_VoxCore_Session_Logs\dashboard.html,115,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"<div class=""tl-row fatal""><span class=""ts"">19:33:43</span><span class=""src"">Crash</span><span class="
AI_Studio\Z_VoxCore_Session_Logs\dashboard.html,116,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"<div class=""tl-row fatal""><span class=""ts"">19:19:32</span><span class=""src"">Crash</span><span class="
AI_Studio\Z_VoxCore_Session_Logs\timeline.txt,1237,C:\Users\atayl\VoxCore,VOXCORE_ROOT,12:33:27 F [Crash  ] CRASH [C0000005 ACCESS_VIOLATION] at C:\Users\atayl\VoxCore\src\server\game\Lua
AI_Studio\Z_VoxCore_Session_Logs\timeline.txt,2003,C:\Users\atayl\VoxCore,VOXCORE_ROOT,19:19:32 F [Crash  ] CRASH [C0000005 ACCESS_VIOLATION] at C:\Users\atayl\VoxCore\src\server\database
AI_Studio\Z_VoxCore_Session_Logs\timeline.txt,2004,C:\Users\atayl\VoxCore,VOXCORE_ROOT,19:33:43 F [Crash  ] CRASH [C0000005 ACCESS_VIOLATION] at C:\Users\atayl\VoxCore\src\server\database
AI_Studio\Z_VoxCore_Session_Logs\timeline.txt,2005,C:\Users\atayl\VoxCore,VOXCORE_ROOT,20:11:08 F [Crash  ] CRASH [C0000420 An] at C:\Users\atayl\VoxCore\src\common\Debugging\Errors.cpp:1
AI_Studio\Z_VoxCore_Session_Logs\timeline.txt,2006,C:\Users\atayl\VoxCore,VOXCORE_ROOT,21:38:19 F [Crash  ] CRASH [C0000005 ACCESS_VIOLATION] at C:\Users\atayl\VoxCore\src\server\database
config\paths.local.env.example,5,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"VOXCORE_ROOT=""C:\Users\atayl\VoxCore"""
config\paths.local.env.example,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"ROLEPLAYCORE_ROOT=""C:\Users\atayl\VoxCore"""
config\paths.local.env.example,7,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"PACKETLOG_ROOT=""C:\Users\atayl\VoxCore\PacketLog"""
config\paths.local.env.example,8,C:\Users\atayl\OneDrive\Desktop\Excluded,EXCLUDED_ROOT,"EXCLUDED_ROOT=""C:\Users\atayl\OneDrive\Desktop\Excluded"""
